"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","host","1.9.0","USB","36","GET DESCRIPTOR Request DEVICE"
"2","0.000000","1.9.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"3","0.000000","host","1.9.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000000","1.9.0","host","USB","67","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000000","host","1.9.0","USB","36","SET CONFIGURATION Request"
"6","0.000000","1.9.0","host","USB","28","SET CONFIGURATION Response"
"7","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request DEVICE"
"8","0.000000","1.2.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"9","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"10","0.000000","1.2.0","host","USB","716","GET DESCRIPTOR Response CONFIGURATION"
"11","0.000000","host","1.2.0","USB","36","SET CONFIGURATION Request"
"12","0.000000","1.2.0","host","USB","28","SET CONFIGURATION Response"
"13","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request DEVICE"
"14","0.000000","1.1.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"15","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"16","0.000000","1.1.0","host","USB","205","GET DESCRIPTOR Response CONFIGURATION"
"17","0.000000","host","1.1.0","USB","36","SET CONFIGURATION Request"
"18","0.000000","1.1.0","host","USB","28","SET CONFIGURATION Response"
"19","0.000000","host","1.3.0","USB","36","GET DESCRIPTOR Request DEVICE"
"20","0.000000","1.3.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"21","0.000000","host","1.3.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"22","0.000000","1.3.0","host","USB","67","GET DESCRIPTOR Response CONFIGURATION"
"23","0.000000","host","1.3.0","USB","36","SET CONFIGURATION Request"
"24","0.000000","1.3.0","host","USB","28","SET CONFIGURATION Response"
"25","0.000000","host","1.4.0","USB","36","GET DESCRIPTOR Request DEVICE"
"26","0.000000","1.4.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"27","0.000000","host","1.4.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"28","0.000000","1.4.0","host","USB","103","GET DESCRIPTOR Response CONFIGURATION"
"29","0.000000","host","1.4.0","USB","36","SET CONFIGURATION Request"
"30","0.000000","1.4.0","host","USB","28","SET CONFIGURATION Response"
"31","13.024776","host","1.9.1","USB","47","URB_BULK out"
"32","13.024835","1.9.1","host","USB","27","URB_BULK out"
"33","13.024872","host","1.9.1","USB","27","URB_BULK in"
"34","13.026115","1.9.1","host","USB","57","URB_BULK in"
"35","13.026155","host","1.9.1","USB","27","URB_BULK in"
"36","13.027153","1.9.1","host","USB","39","URB_BULK in"
"37","13.027207","host","1.9.1","USB","59","URB_BULK out"
"38","13.028147","1.9.1","host","USB","27","URB_BULK out"
"39","13.028198","host","1.9.1","USB","27","URB_BULK in"
"40","13.029617","1.9.1","host","USB","59","URB_BULK in"
"41","13.029671","host","1.9.1","USB","27","URB_BULK in"
"42","13.030699","1.9.1","host","USB","39","URB_BULK in"
"43","13.031654","host","1.9.1","USB","43","URB_BULK out"
"44","13.031702","1.9.1","host","USB","27","URB_BULK out"
