"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","172.28.25.193","204.79.197.200","TCP","55","50891  >  443 [ACK] Seq=1 Ack=1 Win=258 Len=1 [TCP segment of a reassembled PDU]"
"2","0.176122","Cisco_ee:e3:52","Broadcast","ARP","60","Gratuitous ARP for 172.28.24.18 (Reply)"
"3","0.176181","Cisco_ee:e3:52","Broadcast","ARP","60","Gratuitous ARP for 172.28.24.18 (Reply)"
"4","0.304872","Cisco_8e:f7:6a","Broadcast","ARP","60","Gratuitous ARP for 172.28.24.32 (Reply)"
"5","0.790445","Cisco_ee:e1:5c","Broadcast","ARP","60","Gratuitous ARP for 172.28.24.73 (Reply)"
"6","0.854206","172.28.25.193","142.250.194.142","TCP","55","50985  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]"
"7","0.919697","142.250.194.142","172.28.25.193","TCP","66","443  >  50985 [ACK] Seq=1 Ack=2 Win=265 Len=0 SLE=1 SRE=2"
"8","1.020053","JuniperN_44:db:00","Broadcast","ARP","60","Who has 172.28.24.132? Tell 172.28.24.1"
"9","1.100744","d2:d9:f5:c7:32:f2","Broadcast","ARP","60","Who has 172.28.24.1? Tell 172.28.25.244"
"10","1.233353","172.28.25.193","52.163.231.110","TLSv1.2","111","Application Data"
"11","1.320052","RuckusWi_39:84:50","Broadcast","ARP","60","Who has 172.28.24.1? Tell 172.28.24.76"
"12","1.330228","52.163.231.110","172.28.25.193","TLSv1.2","100","Application Data"
"13","1.379078","172.28.25.193","52.163.231.110","TCP","54","50814  >  443 [ACK] Seq=58 Ack=47 Win=253 Len=0"
"14","1.386289","172.28.25.193","142.250.194.182","UDP","1292","54851  >  443 Len=1250"
"15","1.387358","172.28.25.193","142.250.194.182","UDP","118","54851  >  443 Len=76"
"16","1.388337","172.28.25.193","142.250.194.182","UDP","760","54851  >  443 Len=718"
"17","1.406930","172.28.25.193","13.107.4.52","TCP","54","51046  >  80 [FIN, ACK] Seq=1 Ack=1 Win=256 Len=0"
"18","1.428527","Cisco_ee:ee:32","Broadcast","ARP","60","Gratuitous ARP for 172.28.24.63 (Reply)"
"19","1.436015","142.250.194.182","172.28.25.193","UDP","1292","443  >  54851 Len=1250"
"20","1.472949","LiteonTe_be:10:83","Broadcast","ARP","60","Who has 169.254.169.254? Tell 172.28.26.90"
"21","1.475779","142.250.194.182","172.28.25.193","UDP","1292","443  >  54851 Len=1250"
"22","1.477103","172.28.25.193","142.250.194.182","UDP","121","54851  >  443 Len=79"
"23","1.477386","142.250.194.182","172.28.25.193","UDP","825","443  >  54851 Len=783"
"24","1.477518","142.250.194.182","172.28.25.193","UDP","217","443  >  54851 Len=175"
"25","1.477883","172.28.25.193","142.250.194.182","UDP","75","54851  >  443 Len=33"
"26","1.478353","142.250.194.182","172.28.25.193","UDP","66","443  >  54851 Len=24"
"27","1.498682","142.250.194.182","172.28.25.193","UDP","162","443  >  54851 Len=120"
"28","1.499200","172.28.25.193","142.250.194.182","UDP","75","54851  >  443 Len=33"
