"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","host","1.3.0","USB","36","GET DESCRIPTOR Request DEVICE"
"2","0.000000","1.3.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"3","0.000000","host","1.3.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"4","0.000000","1.3.0","host","USB","716","GET DESCRIPTOR Response CONFIGURATION"
"5","0.000000","host","1.3.0","USB","36","SET CONFIGURATION Request"
"6","0.000000","1.3.0","host","USB","28","SET CONFIGURATION Response"
"7","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request DEVICE"
"8","0.000000","1.2.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"9","0.000000","host","1.2.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"10","0.000000","1.2.0","host","USB","205","GET DESCRIPTOR Response CONFIGURATION"
"11","0.000000","host","1.2.0","USB","36","SET CONFIGURATION Request"
"12","0.000000","1.2.0","host","USB","28","SET CONFIGURATION Response"
"13","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request DEVICE"
"14","0.000000","1.1.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"15","0.000000","host","1.1.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"16","0.000000","1.1.0","host","USB","67","GET DESCRIPTOR Response CONFIGURATION"
"17","0.000000","host","1.1.0","USB","36","SET CONFIGURATION Request"
"18","0.000000","1.1.0","host","USB","28","SET CONFIGURATION Response"
"19","0.000000","host","1.4.0","USB","36","GET DESCRIPTOR Request DEVICE"
"20","0.000000","1.4.0","host","USB","46","GET DESCRIPTOR Response DEVICE"
"21","0.000000","host","1.4.0","USB","36","GET DESCRIPTOR Request CONFIGURATION"
"22","0.000000","1.4.0","host","USB","103","GET DESCRIPTOR Response CONFIGURATION"
"23","0.000000","host","1.4.0","USB","36","SET CONFIGURATION Request"
"24","0.000000","1.4.0","host","USB","28","SET CONFIGURATION Response"
"25","0.349204","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"26","0.349320","host","1.2.1","USB","27","URB_INTERRUPT in"
"27","0.383400","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"28","0.383464","host","1.2.1","USB","27","URB_INTERRUPT in"
"29","0.422175","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"30","0.422264","host","1.2.1","USB","27","URB_INTERRUPT in"
"31","0.461246","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"32","0.461344","host","1.2.1","USB","27","URB_INTERRUPT in"
"33","0.497243","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"34","0.497341","host","1.2.1","USB","27","URB_INTERRUPT in"
"35","0.500196","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"36","0.500303","host","1.2.1","USB","27","URB_INTERRUPT in"
"37","0.503230","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"38","0.503396","host","1.2.1","USB","27","URB_INTERRUPT in"
"39","0.904477","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"40","0.904559","host","1.2.1","USB","27","URB_INTERRUPT in"
"41","1.017240","controller","host","HCI_EVT","45","Rcvd LE Meta (LE Advertising Report)"
"42","1.017334","host","1.2.1","USB","27","URB_INTERRUPT in"
"43","1.079303","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"44","1.079409","host","1.2.1","USB","27","URB_INTERRUPT in"
"45","1.082179","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"46","1.082270","host","1.2.1","USB","27","URB_INTERRUPT in"
"47","1.163484","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"48","1.163682","host","1.2.1","USB","27","URB_INTERRUPT in"
"49","1.273494","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"50","1.273686","host","1.2.1","USB","27","URB_INTERRUPT in"
"51","1.431233","host","controller","HCI_CMD","40","Sent Write Inquiry Tx Power Level"
"52","1.431497","1.2.0","host","HCI_USB","28","Rcvd"
"53","1.433228","controller","host","HCI_EVT","33","Rcvd Command Complete (Write Inquiry Tx Power Level)"
"54","1.433294","host","1.2.1","USB","27","URB_INTERRUPT in"
"55","1.433366","host","controller","HCI_CMD","44","Sent Inquiry"
"56","1.433596","1.2.0","host","HCI_USB","28","Rcvd"
"57","1.435372","controller","host","HCI_EVT","33","Rcvd Command Status (Inquiry)"
"58","1.435460","host","1.2.1","USB","27","URB_INTERRUPT in"
"59","1.681499","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"60","1.681600","host","1.2.1","USB","27","URB_INTERRUPT in"
"61","1.857441","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"62","1.857543","host","1.2.1","USB","27","URB_INTERRUPT in"
"63","2.000190","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
"64","2.000321","host","1.2.1","USB","27","URB_INTERRUPT in"
"65","2.802395","controller","host","HCI_EVT","72","Rcvd LE Meta (LE Advertising Report)"
